"AnnPrecip" "MeanJanTemp" "MeanJulyTemp" "PctGT65" "PopPerHouse" "School" "PctSound" "PopPerSqMile" "PctNonWhite" "PctWhiteCollar" "PctU20000" "log.Hydro" "log.Nit" "log.SO2" "RelHumid" "AAMort"
"21" 31 45 85 7.3 3.22 12.4 80.7 1844 11.5 48.1 18.5 0 0 0 53 891.71
"22" 31 24 72 9 3.37 11.9 82.8 3226 5.1 45.2 12.3 1.6094379124341 1.09861228866811 2.30258509299405 61 871.34
"23" 42 40 77 6.1 3.45 11.4 71.8 2269 22.7 41.4 19.5 2.07944154167984 1.09861228866811 1.6094379124341 53 971.12
"24" 43 27 72 9 3.25 12.5 87.1 2909 7.2 51.6 9.5 1.94591014905531 1.09861228866811 2.30258509299405 56 887.47
"25" 46 55 84 5.6 3.35 12.4 79.7 2647 21 46.9 17.9 1.79175946922805 1.6094379124341 0 59 952.53
"26" 39 29 75 8.7 3.23 12.4 78.6 4412 15.6 46.6 13.2 2.56494935746154 1.94591014905531 3.49650756146648 60 968.67
"27" 35 31 81 9.2 3.1 13 78.3 3262 12.6 48.6 13.9 1.94591014905531 1.38629436111989 1.38629436111989 55 919.73
"28" 43 32 74 10.1 3.38 10.5 79.2 3214 2.9 43.7 12 2.39789527279837 1.94591014905531 3.46573590279973 54 844.05
"29" 11 53 68 9.2 2.99 13.1 90.6 4700 7.8 48.9 12.3 6.47389069635227 5.76519110278484 4.86753445045558 47 861.83
"30" 30 35 71 8.3 3.37 10.9 77.4 4474 13.1 42.6 17.7 3.63758615972639 3.61091791264422 5.26269018890489 57 989.27
"31" 50 42 82 7.3 3.49 11.4 72.5 3497 36.7 43.3 26.4 2.70805020110221 2.89037175789616 3.52636052461616 59 1006.49
"32" 60 67 82 10 2.98 12.5 88.6 4657 13.5 47.3 22.4 1.09861228866811 0 0 60 861.44
"33" 30 20 69 8.8 3.26 12.1 85.4 2934 5.8 44 9.4 3.49650756146648 3.13549421592915 4.8283137373023 64 929.15
"34" 25 12 73 9.2 3.28 13.1 83.1 2095 2 51.9 9.8 2.99573227355399 2.39789527279837 3.25809653802148 58 857.62
"35" 45 40 80 8.3 3.32 11.1 70.3 2682 21 46.1 24.1 2.83321334405622 2.63905732961526 4.35670882668959 56 961.01
"36" 46 30 72 10.2 3.16 12.3 83.2 3327 8.8 45.3 12.2 1.38629436111989 1.09861228866811 2.07944154167984 58 923.23
"37" 54 54 81 7.4 3.36 10.7 72.8 3172 31.4 45.5 24.2 2.99573227355399 2.83321334405622 0 62 1113.16
"38" 42 33 77 9.7 3.03 11.7 83.5 7462 11.3 48.7 12.4 3.71357206670431 3.25809653802148 4.68213122712422 58 994.65
"39" 42 32 76 9.1 3.32 11.5 87.5 6092 17.5 45.3 13.2 3.36729582998647 3.46573590279973 5.08140436498446 54 1015.02
"40" 36 29 72 9.5 3.32 11.6 77.6 3437 8.1 45.5 13.8 3.80666248977032 4.07753744390572 5.57215403217776 56 991.29
"41" 37 38 67 11.3 2.99 13 81.5 3387 3.6 50.3 13.5 4.02535169073515 3.04452243772342 3.78418963391826 73 893.99
"42" 42 29 72 10.7 3.19 11.1 79.5 3508 2.2 38.8 15.7 1.79175946922805 1.38629436111989 2.89037175789616 56 938.5
"43" 41 33 77 11.2 3.08 10.6 79.9 4843 2.7 38.6 14.1 2.39789527279837 2.39789527279837 4.48863636973214 54 946.19
"44" 44 39 78 8.2 3.32 12 79.9 3768 28.6 49.5 17.5 2.484906649788 2.19722457733622 3.87120101090789 53 1025.5
"45" 32 25 72 10.9 3.21 12.1 82.5 4355 5 46.4 10.8 1.94591014905531 1.38629436111989 2.89037175789616 60 874.28
"46" 34 32 79 9.3 3.23 10.7 76.8 5160 17.2 45.1 15.3 3.43398720448515 2.70805020110221 4.21950770517611 57 953.56
"47" 10 55 70 7.3 3.11 13.1 88.9 3033 5.9 51 14 4.969813299576 4.18965474202643 2.99573227355399 61 839.71
"48" 18 48 63 9.2 2.92 13.2 87.7 4253 13.7 51.2 12 5.73979291217923 5.14166355650266 4.45434729625351 71 911.7
"49" 13 49 68 7 3.36 13.2 90.7 2702 3 51.9 9.7 4.65396035015752 3.46573590279973 1.09861228866811 71 790.73
"50" 35 40 64 9.6 3.02 13.2 82.5 3626 5.7 54.3 10.1 2.99573227355399 1.94591014905531 2.99573227355399 72 899.26
"51" 45 28 74 10.6 3.21 12.1 82.6 1883 3.4 41.9 12.3 1.6094379124341 1.38629436111989 2.99573227355399 56 904.16
"52" 38 24 72 9.8 3.34 12.4 78 4923 3.8 50.5 11.1 2.07944154167984 1.6094379124341 3.2188758248682 61 950.67
"53" 31 26 73 9.3 3.22 11.7 81.3 3249 9.5 43.9 13.6 2.39789527279837 1.94591014905531 3.2188758248682 59 972.46
"54" 40 23 71 11.3 3.28 11.3 73.8 1671 2.5 47.4 13.5 1.6094379124341 0.693147180559945 2.39789527279837 60 912.2
"55" 41 37 78 6.2 3.25 13.3 89.5 5308 25.9 59.7 10.3 4.17438726989564 3.3322045101752 4.62497281328427 52 967.8
"56" 28 32 81 7 3.27 13.1 81 3665 7.5 51.6 13.2 1.38629436111989 0.693147180559945 0 54 823.76
"57" 45 33 76 7.7 3.39 12.3 82.2 3152 12.1 47.3 10.9 2.63905732961526 2.39789527279837 3.73766961828337 56 1003.5
"58" 45 24 70 11.8 3.25 12.1 79.8 3678 1 44.8 14 1.94591014905531 1.09861228866811 2.07944154167984 56 895.7
"59" 42 33 76 9.7 3.22 10 76.2 9699 4.8 42.2 14.5 2.07944154167984 2.07944154167984 3.89182029811063 54 911.82
"60" 38 28 72 8.9 3.48 11.7 79.8 3451 11.7 37.5 13 2.63905732961526 2.56494935746154 3.66356164612965 58 954.44
