"Status","Life.expectancy","Adult.Mortality","Hepatitis.B","Measles","BMI","Polio","Diphtheria","GDP","Population","Schooling"
"Developing",63.9,152,81,0,58.9,87,65,6468.471648,1528394,13.2
"Developed",77.5,97,96,0,61.7,92,88,12565.9876,37986412,16.4
"Developing",64.3,105,99,17,58.5,99,70,2847.285569,3483322,12.1
"Developing",61.6,176,89,0,58.3,89,65,8818.982566,55328,12.7
"Developing",67.8,120,99,0,58,99,69,3954.22783,28873,14.2
"Developing",54.8,143,91,1,57.9,91,61,644.525556,48228697,13.6
"Developing",67.8,118,73,0,57.8,72,73,13134.4367,3969249,13
"Developed",75.6,95,94,50,62.4,93,87,14252.42853,29491,16.5
"Developing",64.4,129,94,431,56.2,91,70,3764.64912,37171,13.9
"Developing",63.5,178,91,0,56.1,92,71,4127.11775,6312478,13.2
"Developing",75,142,96,214,56.1,98,76,8757.2622,2596218,15.2
"Developing",67.4,108,82,1677,55.8,74,62,4574.9787,3535961,14.2
"Developing",65.5,123,9,4,55.6,88,71,63.343259,31376671,13.4
"Developing",64.8,118,94,33,54.9,96,64,369.654776,291695,12.7
"Developing",66.2,125,91,0,54.2,91,69,4965.989857,2871934,12.8
"Developing",61.2,118,78,0,54.2,84,64,625.62224,16144368,14
"Developing",64.8,145,98,0,54,99,68,295.966488,68235,11.7
"Developing",72,103,64,39,53.3,65,74,285.83414,26463,10.8
"Developing",62,198,98,526,53.1,98,67,159.9817,17544126,15
"Developing",68.8,222,99,20359,52.7,99,72,3944.1839,2976877,14.8
"Developing",62.7,118,96,0,52.5,98,66,55.31382,9649341,12.7
"Developing",62.9,328,75,17,51.1,75,65,5769.77258,5511976.68,13
"Developing",54.6,147,97,0,51,97,59,2326.15856,896829,11.2
"Developing",63.5,104,6,0,49.9,56,65,814.5463952,171161,9.1
"Developing",66.3,215,99,0,48.6,99,73,6432.668768,5565284,10.8
"Developing",71.2,107,9,0,47.1,88,76,17321.83373,13692,12.7
"Developing",66.2,215,95,0,46.7,92,65,4136.689919,768514,10.3
"Developing",69.4,184,99,22,44.7,99,73,2137.576852,312989,12.1
"Developing",65.7,256,95,0,37.9,96,62,6532.651,229197,12.6
"Developing",73.2,168,98,0,37.4,97,77,1539.464,93419,14.1
"Developing",66,229,8,27,36.3,79,68,7388.984144,193175,12.6
"Developing",65.8,248,92,212,35.7,92,71,4737.66996,2425561,11.7
"Developing",63.5,241,84,47,35,84,68,1862.167274,927414,6.3
"Developing",70.9,148,99,154,33.6,99,73,5814.863134,686576,13.6
"Developing",64.6,146,97,0,33.3,98,69,9252.11724,126265,15.2
"Developing",76.1,105,99,42361,32.9,99,82,869.211938,137122,13.5
"Developing",53.7,484,93,0,32.6,9,60,173.82893,2174645,10.7
"Developing",58.9,373,9,0,32.3,84,62,3136.92511,131911,11.4
"Developing",67,336,87,0,31.8,88,69,118.69383,15777451,10.3
"Developing",73.3,114,96,0,31.3,93,73,2954.119467,532913,13.5
"Developing",57.3,357,84,1809,29,83,54,1244.429421,22834522,10.4
"Developing",62.4,249,88,23,28.6,88,69,1361.11395,27582821,11.4
"Developing",69.1,176,78,15099,27.4,8,78,3336.16686,258162113,12.9
"Developing",68.5,101,99,0,27.4,99,73,8395.785198,49163,12.7
"Developing",61.4,259,52,1060,27.3,52,65,452.38717,4499621,9.9
"Developing",58.9,275,87,153,26.3,87,64,596.8717189,177526,9.2
"Developing",60,249,82,55,25.7,78,62,783.94791,1575952,10.7
"Developing",54.5,344,49,12423,25.4,49,59,2655.157977,181181744,10
"Developing",68.5,211,6,619,25.4,79,72,2878.33837,11716359,11.7
"Developing",66.4,161,72,386,25.4,72,72,1431.244865,18938513,8.1
"Developing",69.8,211,99,11,24.5,98,72,2613.645177,787386,12.5
"Developing",58.2,102,16,1250,24.5,17,59,1347.31257,1175389,9.2
"Developing",51,413,86,607,24.4,86,56,587.538233,723725,9.5
"Developing",59.9,287,88,20,24.3,88,64,551.138346,741682,12
"Developing",66.7,188,89,58,24.3,85,72,98.7256145,14976994,9.5
"Developing",63.5,227,91,0,24.2,92,68,727.6463868,777424,11.1
"Developing",58.2,266,64,215,23.8,66,64,729.725338,1746795,8.4
"Developing",66.6,199,89,6,23.8,89,70,1194.59137,5243669,9.1
"Developing",74.9,138,99,1568,23.4,99,79,3844.89123,2966,14
"Developing",61.8,103,9,9,23.4,9,69,1313.889646,161587,12.5
"Developing",52.4,335,64,118,23.3,7,64,3695.793748,2785935,11.4
"Developing",59,284,54,243,23.3,42,60,554.48766,1291533,8.8
"Developing",52.5,397,47,150,22.7,47,47,348.381417,45461,7.1
"Developing",57.6,355,8,79,22.6,8,63,528.3125597,281691,9.1
"Developing",63.4,249,89,95,22,83,72,1349.97144,47236259,11.1
"Developing",66.1,227,98,1,21.4,99,68,71.348397,11629553,10.8
"Developing",58.3,365,88,0,19.6,88,60,362.6575444,1757367,10.8
"Developing",68.7,174,89,0,19.6,87,67,1163.18977,15517635,10.9
"Developing",59.9,106,91,99,19.4,91,61,615.592225,1811624,7.7
"Developing",61.8,102,65,7693,19.3,65,65,358.99731,19896965,5.4
"Developing",53.1,356,46,418,19.1,52,46,777.248751,149413,7.3
"Developing",65,263,65,1154,19.1,6,65,584.25921,33736494,10.1
"Developing",69.2,165,91,1599,19.1,9,73,743.7653489,28656282,12.2
"Developing",59.6,288,94,9,18.7,94,64,33.681223,119927,10.6
"Developing",68.3,181,87,90387,18.7,86,87,1613.18878,1395398,11.6
"Developing",62.3,291,78,478,18.5,82,68,693.8963829,414487,10
"Developing",61.8,129,97,240,18.3,97,67,121.15812,1612886,10.2
"Developing",64.8,225,77,17745,17.6,75,70,645.4637627,9987333,8.4
"Developing",68.3,152,76,43,17.4,75,75,1161.76935,124977,12.5
"Developed",74.6,93,94,0,61.2,95,85,13666.58336,1977527,16
"Developing",73,222,97,843,6.5,97,77,9329.298351,1449687,15
"Developing",69.6,105,92,0,6.5,92,62,1146.36273,487852,14.2
"Developed",74.5,57,92,0,65.7,91,84,6993.47736,7177991,15
"Developed",78,95,94,206,63.7,94,84,11579.6674,42364,15.3
"Developing",55.6,121,94,383,6,95,55,5237.255334,795383,14.4
"Developing",61,175,94,0,5.9,94,64,4849.997495,359288,12.8
"Developing",61.9,186,74,0,5.6,9,64,3923.573344,16252429,10.7
"Developing",69.2,177,98,0,5.5,99,72,1922.41388,587482,9.6
"Developing",64,146,93,0,5.2,89,69,419.367724,6639119,12.3
"Developing",69.7,161,96,3,4.7,96,74,918.6771543,8548651,11.3
"Developing",65,123,99,1318,4.6,99,70,9643.644683,3723155,13.1
"Developing",67.5,109,96,0,3.9,96,72,1624.63963,195553,11.2
"Developing",63.1,105,73,1,3.8,67,67,1158.256469,4182341,8.5
"Developing",65.5,102,69,3,2.5,71,69,41.8575951,2423488,10.3
